,0
1503,3210
1504,1900
1505,2546
1506,51
1507,2109
1508,2698
1509,2403
1510,3159
1511,2642
1512,3120
1513,1497
1514,67
1515,734
1516,638
1517,794
1518,2044
1519,435
1520,160
1521,1049
1522,3180
1523,2597
1524,558
1525,2179
1526,2833
1527,282
1528,552
1529,489
1530,2324
1531,740
1532,2085
1533,609
1534,652
1535,2408
1536,151
1537,94
1538,586
1539,1022
1540,1672
1541,1850
1542,653
1543,1832
1544,1153
1545,2939
1546,904
1547,541
1548,531
1549,1025
1550,458
1551,1829
1552,623
1553,812
1554,2738
1555,3157
1556,862
1557,393
1558,1684
1559,2116
1560,191
1561,3160
1562,338
1563,1373
1564,765
1565,2309
1566,3138
1567,2497
1568,97
1569,389
1570,3108
1571,2664
1572,1561
1573,706
1574,315
1575,2466
1576,1699
1577,289
1578,1688
1579,104
1580,1028
1581,3166
1582,2512
1583,235
1584,2354
1585,179
1586,837
1587,3122
1588,2197
1589,1412
1590,72
1591,710
1592,758
1593,506
1594,1622
1595,148
1596,1590
1597,2806
1598,391
1599,644
1600,1021
1601,2950
1602,1859
1603,2807
1604,39
1605,1533
1606,441
1607,919
1608,3234
1609,2494
1610,479
1611,3101
1612,1318
1613,3126
1614,1380
1615,77
1616,476
1617,1369
1618,1269
1619,836
1620,172
1621,1830
1622,481
1623,2429
1624,59
1625,429
1626,1338
1627,259
1628,2870
1629,1771
1630,521
1631,3134
1632,690
1633,698
1634,3228
1635,1833
1636,1614
1637,2029
1638,365
1639,2396
1640,956
1641,261
1642,975
1643,1651
1644,3153
1645,3191
1646,2035
1647,2122
1648,2240
1649,2844
1650,691
1651,689
1652,2938
1653,400
1654,890
1655,3144
1656,464
1657,162
1658,1257
1659,351
1660,2228
1661,1906
1662,409
1663,611
1664,3222
1665,1523
1666,1813
1667,713
1668,700
1669,2181
1670,2692
1671,424
1672,561
1673,786
1674,2887
1675,1881
1676,835
1677,288
1678,1513
1679,1552
1680,2094
1681,2873
1682,367
1683,2733
1684,168
1685,126
1686,332
1687,3039
1688,158
1689,571
1690,423
1691,2217
1692,192
1693,722
1694,2265
1695,893
1696,1341
1697,253
1698,3238
1699,2867
1700,2067
1701,38
1702,2300
1703,4
1704,1890
1705,863
1706,176
1707,386
1708,920
1709,2325
1710,2700
1711,329
1712,286
1713,1057
1714,410
1715,398
1716,1000
1717,2906
1718,98
1719,742
1720,24
1721,3142
1722,743
1723,2966
1724,938
1725,311
1726,889
1727,2123
1728,655
1729,66
1730,414
1731,1392
1732,497
1733,1897
1734,1893
1735,993
1736,3221
1737,902
1738,296
1739,3172
1740,1129
1741,45
1742,1792
1743,1419
1744,1905
1745,3200
1746,2949
1747,590
1748,559
1749,292
1750,304
1751,553
1752,52
1753,245
1754,1271
1755,2625
1756,1803
1757,2477
1758,70
1759,2374
1760,34
1761,2022
1762,841
1763,2174
1764,891
1765,3169
1766,1889
1767,248
1768,1136
1769,3071
1770,1535
1771,1448
1772,1795
1773,1955
1774,16
1775,291
1776,2011
1777,397
1778,3170
1779,703
1780,146
1781,3176
1782,1737
1783,371
1784,312
1785,1971
1786,1537
1787,2435
1788,1703
1789,306
1790,694
1791,1801
1792,2229
1793,415
1794,2775
1795,999
1796,1012
1797,900
1798,656
1799,2563
1800,532
1801,665
1802,1411
1803,529
1804,1507
1805,2389
1806,615
1807,2961
1808,1621
1809,206
1810,2989
1811,218
1812,968
1813,57
1814,316
1815,375
1816,0
1817,2975
1818,1440
1819,793
1820,544
1821,773
